# Absorption coefficient of pure liquid water at 25 C, Segelstein (1981) / Hale & Querry (1973).
# mu_a = 4 pi k / lambda, from the refractiveindex.info database (CC0), as bundled in the optiland PyPI package.
wavelength_nm,mua_cm-1
244.91,0.00508159
250.03,0.00467735
255.27,0.00423643
260.02,0.00386367
264.85,0.00353183
269.77,0.00319154
274.79,0.0028774
279.90,0.00260016
285.10,0.00238232
289.73,0.0020797
295.12,0.00187499
299.92,0.0017378
304.79,0.00157761
309.74,0.0014388
314.77,0.00132739
319.89,0.00125314
325.09,0.00119124
330.37,0.00113501
334.97,0.00108143
339.63,0.00102329
345.14,0.000966051
349.95,0.000907821
354.81,0.000857038
359.75,0.000809096
364.75,0.000763836
369.83,0.000719449
374.97,0.000680769
380.19,0.00064121
384.59,0.000601174
389.94,0.000567545
395.37,0.000528445
399.94,0.000496592
404.58,0.000462381
410.20,0.000435512
414.95,0.000405509
419.76,0.000376704
424.62,0.000345939
429.54,0.00031842
434.51,0.000294442
439.54,0.000268534
444.63,0.000245471
449.78,0.000225944
454.99,0.000215278
460.26,0.000207491
464.52,0.000202768
469.89,0.000194984
475.34,0.000185353
479.73,0.00018578
485.29,0.000185353
489.78,0.000188365
495.45,0.000199067
500.03,0.000232274
504.66,0.000268534
510.50,0.000311889
515.23,0.000356451
520.00,0.000379315
524.81,0.000392645
529.66,0.000416869
534.56,0.000443609
539.51,0.000488652
544.50,0.0005236
549.54,0.00055847
554.63,0.00060256
559.76,0.000644169
564.94,0.000696627
570.16,0.000756833
575.44,0.00083946
579.43,0.000961612
584.79,0.00112202
590.20,0.00135519
595.66,0.0016293
599.79,0.00201837
605.34,0.00234963
609.54,0.0025527
615.18,0.00271644
619.44,0.00283792
625.17,0.00295801
629.51,0.00299916
635.33,0.00306902
639.73,0.00308319
645.65,0.00312608
650.13,0.00323594
654.64,0.00341193
660.69,0.00368978
665.27,0.00383707
669.88,0.0039355
674.53,0.00405509
680.77,0.0042462
685.49,0.00452898
690.24,0.00483059
695.02,0.00535797
699.84,0.00601174
704.69,0.00731139
709.58,0.00885116
714.50,0.0105439
719.45,0.012735
724.44,0.0158489
729.46,0.0198153
734.51,0.0230675
739.61,0.0247742
744.73,0.0258226
749.89,0.0261216
755.09,0.0263027
760.33,0.0261216
765.60,0.0257632
769.13,0.0249378
774.46,0.0239883
779.83,0.0226986
785.24,0.0214289
790.68,0.0203704
794.33,0.0199067
799.83,0.0196336
805.38,0.0198153
809.10,0.0206538
814.70,0.0223357
820.35,0.0248313
824.14,0.0277332
829.85,0.030903
835.60,0.0337287
839.46,0.0368129
845.28,0.0399945
849.18,0.0433511
855.07,0.0463447
859.01,0.0489779
864.97,0.0515229
870.96,0.0540754
874.98,0.0561048
879.02,0.0579429
885.12,0.0601174
889.20,0.06223
895.36,0.0648634
899.50,0.0679204
905.73,0.0714496
909.91,0.0787046
914.11,0.092045
920.45,0.11337
924.70,0.144012
928.97,0.185097
935.41,0.237903
939.72,0.290068
944.06,0.340408
950.60,0.387614
954.99,0.419759
959.40,0.439845
966.05,0.450609
970.51,0.453419
974.99,0.448539
979.49,0.438531
984.01,0.426089
990.83,0.412572
995.41,0.395276
1000.00,0.376964
1009.25,0.334657
